title,description,content,source,author,url,publishedAt,language,translated_title,translated_content,translated_description
"Holding cash, leveraged funds, bitcoin: Here's how retail investors are coping with volatile markets",Trump's tariffs are hitting portfolios hard. Here's how retail investors are weathering the storm.,"Tariff announcements that change by the hour, record-breaking market fluctuations, and stocks flirting with bear-market territory President Donald Trump's trade war has thrown the investment landscap… [+5062 chars]",Business Insider,cji@businessinsider.com (Christine Ji),https://www.businessinsider.com/retail-investors-trump-trade-war-stock-market-panic-bitcoin-tariffs-2025-4,2025-04-16T18:09:34Z,en,"Holding cash, leveraged funds, bitcoin: Here's how retail investors are coping with volatile markets","Tariff announcements that change by the hour, record-breaking market fluctuations, and stocks flirting with bear-market territory President Donald Trump's trade war has thrown the investment landscap… [+5062 chars]",Trump's tariffs are hitting portfolios hard. Here's how retail investors are weathering the storm.
Tesla's struggling stock just saw a dreaded 'death cross' that could signal further losses,"It's Tesla's first death cross since May 2022, the early days of a brutal bear market sell-off.","Major stock indexes flashed so-called ""death cross"" signals this week. On Tuesday, it was Tesla's turn.
Shares of the EV-maker met the definition of a death cross when their 50-day moving average ($… [+1494 chars]",Business Insider,mfox@businessinsider.com (Matthew Fox),https://www.businessinsider.com/death-cross-formation-tesla-stock-price-bearish-signal-tariff-volatility-2025-4,2025-04-15T15:53:12Z,en,Tesla's struggling stock just saw a dreaded 'death cross' that could signal further losses,"Major stock indexes flashed so-called ""death cross"" signals this week. On Tuesday, it was Tesla's turn.
Shares of the EV-maker met the definition of a death cross when their 50-day moving average ($… [+1494 chars]","It's Tesla's first death cross since May 2022, the early days of a brutal bear market sell-off."
White House AI and crypto czar David Sacks points out one part of the government that needs more money,"David Sacks, the White House crypto czar, said the Bureau of Industry and Security needs more resources to enforce export controls on US-made chips.","David Sacks, the White House's AI and crypto czar, is a strong proponent of DOGE's work to slash the size of the US government.
But one area he said could use more resources is at a little-mentioned… [+1697 chars]",Business Insider,lloydlee@insider.com (Lloyd Lee),https://www.businessinsider.com/david-sacks-nvidia-export-controls-crackdown-bis-more-funding-2025-4,2025-04-20T03:56:47Z,en,White House AI and crypto czar David Sacks points out one part of the government that needs more money,"David Sacks, the White House's AI and crypto czar, is a strong proponent of DOGE's work to slash the size of the US government.
But one area he said could use more resources is at a little-mentioned… [+1697 chars]","David Sacks, the White House crypto czar, said the Bureau of Industry and Security needs more resources to enforce export controls on US-made chips."
Wall Street money managers are betting on gold above all else. 4 other investments in their bear-market survival kit.,"Wall Street fund managers are going ""risk-off"" doubling down on gold and reducing tech holdings, according to Bank of America","If the trade war is making you fear for your portfolio, you're not alone.
Institutional investors are also on high alert. Bank of America's latest Fund Manager Survey shows that the biggest money ma… [+3713 chars]",Business Insider,cji@businessinsider.com (Christine Ji),https://www.businessinsider.com/top-investments-right-now-fund-manager-survey-bofa-gold-tariffs-2025-4,2025-04-19T10:10:03Z,en,Wall Street money managers are betting on gold above all else. 4 other investments in their bear-market survival kit.,"If the trade war is making you fear for your portfolio, you're not alone.
Institutional investors are also on high alert. Bank of America's latest Fund Manager Survey shows that the biggest money ma… [+3713 chars]","Wall Street fund managers are going ""risk-off"" doubling down on gold and reducing tech holdings, according to Bank of America"
These are the big winners as the US dollar weakens,"The US dollar's sharp decline this year stands to benefit commodities, export-driven economies, and haven assets such as gold.","The US dollar, the bedrock of global finance, has weakened by nearly 10% from its mid-January peak to a three-year low against a basket of major currencies.
A key catalyst has been President Donald … [+2946 chars]",Business Insider,tmohamed@businessinsider.com (Theron Mohamed),https://www.businessinsider.com/us-dollar-trump-tariffs-winners-haven-currencies-commodities-exports-gold-2025-4,2025-04-19T08:47:01Z,en,These are the big winners as the US dollar weakens,"The US dollar, the bedrock of global finance, has weakened by nearly 10% from its mid-January peak to a three-year low against a basket of major currencies.
A key catalyst has been President Donald … [+2946 chars]","The US dollar's sharp decline this year stands to benefit commodities, export-driven economies, and haven assets such as gold."
Record-shattering gold is proving its worth as the ultimate safe haven for investors,"Gold has crushed the S&P 500 this year, as risk assets and even traditional safe haven trades struggle against tariff fears.","Gold is trouncing other assets in 2025. 
The precious metal's record-setting year is a sign that investorsracked by uncertainty over tariffs, the economy, and inflationsee it as a place to hide whil… [+2641 chars]",Business Insider,jsor@businessinsider.com (Jennifer Sor),https://www.businessinsider.com/gold-price-today-record-bullion-rally-safe-haven-commodities-investing-2025-4,2025-04-22T18:10:21Z,en,Record-shattering gold is proving its worth as the ultimate safe haven for investors,"Gold is trouncing other assets in 2025. 
The precious metal's record-setting year is a sign that investorsracked by uncertainty over tariffs, the economy, and inflationsee it as a place to hide whil… [+2641 chars]","Gold has crushed the S&P 500 this year, as risk assets and even traditional safe haven trades struggle against tariff fears."
Law firm that hired former Mueller prosecutors teams up with Trump Media to work on crypto,Davis Polk will work with Truth Social's parent company on a cryptocurrency venture.,"A social media company mostly owned by President Donald Trump's family trust announced on Tuesday that it's partnering with one of the nation's richest law firms to launch a crypto venture.
Trump Me… [+2472 chars]",Business Insider,"bgriffiths@insider.com (Brent D. Griffiths,Jack Newsham)",https://www.businessinsider.com/big-law-trump-media-crypto-etfs-davis-polk-2025-4,2025-04-22T17:04:35Z,en,Law firm that hired former Mueller prosecutors teams up with Trump Media to work on crypto,"A social media company mostly owned by President Donald Trump's family trust announced on Tuesday that it's partnering with one of the nation's richest law firms to launch a crypto venture.
Trump Me… [+2472 chars]",Davis Polk will work with Truth Social's parent company on a cryptocurrency venture.
A tiny internet company's stock spiked 335% on plans to mimic Michael Saylor's crypto playbook,Upexi stock jumped by triple digits after it announced a private investment deal to fuel its purchase of solana tokens.,"Upexi notched a triple-digit stock gain on Monday after announcing plans to accumulate millions worth of crypto.
The self-described brand owner, specializing in the ""development, manufacturing, and … [+1502 chars]",Business Insider,fdemott@businessinsider.com (Filip De Mott),https://www.businessinsider.com/upexi-stock-price-rally-solana-crypto-strategy-saylor-mastr-bitcoin-2025-4,2025-04-21T20:13:50Z,en,A tiny internet company's stock spiked 335% on plans to mimic Michael Saylor's crypto playbook,"Upexi notched a triple-digit stock gain on Monday after announcing plans to accumulate millions worth of crypto.
The self-described brand owner, specializing in the ""development, manufacturing, and … [+1502 chars]",Upexi stock jumped by triple digits after it announced a private investment deal to fuel its purchase of solana tokens.
What Elon Musk is really up to at DOGE: 4 plausible theories,DOGE isn't saving much money. So what is Elon Musk it really up to?,"If Elon Musk's effort to remake the federal government was ever really about ""waste, fraud, and abuse,""
 those DOGE days are over. His quasi-agency has made huge and unprecedented changes to what th… [+12823 chars]",Business Insider,arogers@businessinsider.com (Adam Rogers),https://www.businessinsider.com/elon-musk-doge-cuts-federal-worker-firings-government-plan-2025-4,2025-04-21T08:04:01Z,en,What Elon Musk is really up to at DOGE: 4 plausible theories,"If Elon Musk's effort to remake the federal government was ever really about ""waste, fraud, and abuse,""
 those DOGE days are over. His quasi-agency has made huge and unprecedented changes to what th… [+12823 chars]",DOGE isn't saving much money. So what is Elon Musk it really up to?
Trump's official store is selling a 'Trump 2028' hat for $50,The Trump Organization is selling 2028 merchandise that winks at the possibility of an unconstitutional run by President Donald Trump.,"President Donald Trump's family business is cashing in on his flirtation with a 2028 run, even though it's unconstitutional for him to seek the White House again.
On Thursday, the Trump Organization… [+1751 chars]",Business Insider,bgriffiths@insider.com (Brent D. Griffiths),https://www.businessinsider.com/trump-selling-2028-merchandise-2025-4,2025-04-24T21:24:21Z,en,Trump's official store is selling a 'Trump 2028' hat for $50,"President Donald Trump's family business is cashing in on his flirtation with a 2028 run, even though it's unconstitutional for him to seek the White House again.
On Thursday, the Trump Organization… [+1751 chars]",The Trump Organization is selling 2028 merchandise that winks at the possibility of an unconstitutional run by President Donald Trump.
